pdl,nom,roof_m2,potential,Nom delta conso
19394934771796,GROUPE SCOLAIRE JOLIOT CURIE/ECOLE MATERNELLE JOLIOT CURIE,1591,Pas de potentiel,
,GROUPE SCOLAIRE JOLIOT CURIE/ECOLE MATERNELLE JOLIOT CURIE/CHAUFFERIE,,Pas de potentiel,
,GROUPE SCOLAIRE JOLIOT CURIE/ECOLE MATERNELLE JOLIOT CURIE/RESTAURANT SCOLAIRE JOLIOT CURIE MATERNELLE,,Pas de potentiel,
30001930558994,GROUPE SCOLAIRE PAUL BERT/ECOLE ELEMENTAIRE PAUL BERT,1111,Potentiel élevé,
30001930555529,GROUPE SCOLAIRE PAUL BERT/ECOLE MATERNELLE PAUL BERT,914,Pas de potentiel,
,GROUPE SCOLAIRE PAUL BERT/ECOLE MATERNELLE PAUL BERT/ABRIS DE POUBELLES,,Pas de potentiel,
,GROUPE SCOLAIRE PAUL BERT/ECOLE MATERNELLE PAUL BERT/ABRIS DE VELOS,,Pas de potentiel,
,GROUPE SCOLAIRE PAUL BERT/ECOLE MATERNELLE PAUL BERT/CHAUFFERIE,,Pas de potentiel,
,GROUPE SCOLAIRE PAUL BERT/ECOLE MATERNELLE PAUL BERT/RESTAURANT SCOLAIRE PAUL BERT,,Pas de potentiel,
30001931524826,GROUPE SCOLAIRE PAUL ELUARD,2494,,
,GROUPE SCOLAIRE PAUL ELUARD/ABRIS DE POUBELLES,,Pas de potentiel,
,GROUPE SCOLAIRE PAUL ELUARD/ABRIS DE VELOS,,Pas de potentiel,
,GROUPE SCOLAIRE PAUL ELUARD/ECOLE ELEMENTAIRE PAUL ELUARD,,Pas de potentiel,
,GROUPE SCOLAIRE PAUL ELUARD/ECOLE ELEMENTAIRE PAUL ELUARD/CHAUFFERIE,,Pas de potentiel,
,GROUPE SCOLAIRE PAUL ELUARD/ECOLE ELEMENTAIRE PAUL ELUARD/ESPACE DESAFFECTE,,Pas de potentiel,
,GROUPE SCOLAIRE PAUL ELUARD/ECOLE ELEMENTAIRE PAUL ELUARD/LOGEMENTS PAUL ELUARD (2 LOCATAIRES)/APPARTEMENT DE DROITE,,Pas de potentiel,
,GROUPE SCOLAIRE PAUL ELUARD/ECOLE ELEMENTAIRE PAUL ELUARD/LOGEMENTS PAUL ELUARD (2 LOCATAIRES)/APPARTEMENT DE GAUCHE,,Pas de potentiel,
,GROUPE SCOLAIRE PAUL ELUARD/ECOLE MATERNELLE PAUL ELUARD,,Pas de potentiel,
,GROUPE SCOLAIRE PAUL ELUARD/RESTAURANT SCOLAIRE PAUL ELUARD,,Pas de potentiel,
50049927633788,GROUPE SCOLAIRE PAUL LANGEVIN/ECOLE MATERNELLE PAUL LANGEVIN,1624,Déjà équipé,
,GROUPE SCOLAIRE PAUL LANGEVIN/ECOLE MATERNELLE PAUL LANGEVIN/ABRIS DE VELOS,,Pas de potentiel,
,GROUPE SCOLAIRE PAUL LANGEVIN/ECOLE MATERNELLE PAUL LANGEVIN/CHAUFFERIE GROUPE SCOLAIRE,,Pas de potentiel,
,GROUPE SCOLAIRE PAUL LANGEVIN/ECOLE MATERNELLE PAUL LANGEVIN/RESTAURANT SCOLAIRE ECOLE MATERNELLE PAUL LANGEVIN,,Pas de potentiel,
19382344323101,GROUPE SCOLAIRE PAULINE LEON (EX AMBROISE CROIZAT)/CHAUFFERIE GROUPE SCOLAIRE,0,Pas de potentiel,
,GROUPE SCOLAIRE PAULINE LEON (EX AMBROISE CROIZAT)/ABRIS DE POUBELLES,,Pas de potentiel,
